name,brand,gender,category,size,price,color,url,img_url,article_no,blob_url
Mössa,NEWBIE BABY,girl,Accessoarer,52/54  - Ej i lager,"69,90:-",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/mossor-vantar/mossa/239921,https://www.kappahl.com/ProductImages/239921/239921_L.jpg?preset=ProductImageMagnified,239921,https://storage.googleapis.com/urbankiddo/kappah/239921
Babyfilt,NEWBIE BABY,girl,Accessoarer,ONE SIZE ,149:-,Rosa,https://www.kappahl.com/sv-SE/barn/accessoarer/ovrigt/babyfilt/366112,https://www.kappahl.com/ProductImages/366112/366112_F_1.png?preset=ProductImageMagnified,366112,https://storage.googleapis.com/urbankiddo/kappah/366112
Babyfilt,NEWBIE BABY,girl,Accessoarer,ONE SIZE ,149:-,Beige,https://www.kappahl.com/sv-SE/barn/accessoarer/ovrigt/babyfilt/366104,https://www.kappahl.com/ProductImages/366104/366104_F_1.png?preset=ProductImageMagnified,366104,https://storage.googleapis.com/urbankiddo/kappah/366104
Vantar,NEWBIE BABY,girl,Accessoarer,00/03 M ,"59,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/vantar/365676,https://www.kappahl.com/ProductImages/365676/365676_L.jpg?preset=ProductImageMagnified,365676,https://storage.googleapis.com/urbankiddo/kappah/365676
Vantar,NEWBIE BABY,girl,Accessoarer,00/06 M  - Ej i lager,"59,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/vantar/365676,https://www.kappahl.com/ProductImages/365676/365676_L.jpg?preset=ProductImageMagnified,365676,https://storage.googleapis.com/urbankiddo/kappah/365676
Tossor,NEWBIE BABY,girl,Accessoarer,00/03 M ,"59,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/44-86/skor/tossor/365684,https://www.kappahl.com/ProductImages/365684/365684_L.jpg?preset=ProductImageMagnified,365684,https://storage.googleapis.com/urbankiddo/kappah/365684
Tossor,NEWBIE BABY,girl,Accessoarer,00/06 M  - Ej i lager,"59,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/44-86/skor/tossor/365684,https://www.kappahl.com/ProductImages/365684/365684_L.jpg?preset=ProductImageMagnified,365684,https://storage.googleapis.com/urbankiddo/kappah/365684
Mössa,NEWBIE BABY,girl,Accessoarer,00/03 M ,"69,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/varmande-3for2/mossa/365742,https://www.kappahl.com/ProductImages/365742/365742_F_1.png?preset=ProductImageMagnified,365742,https://storage.googleapis.com/urbankiddo/kappah/365742
Mössa,NEWBIE BABY,girl,Accessoarer,00/06 M  - Ej i lager,"69,90:-",Offwhite,https://www.kappahl.com/sv-SE/barn/varmande-3for2/mossa/365742,https://www.kappahl.com/ProductImages/365742/365742_F_1.png?preset=ProductImageMagnified,365742,https://storage.googleapis.com/urbankiddo/kappah/365742
Keps,NEWBIE BABY,girl,Accessoarer,44/46 ,"69,30:- 99:- -30%",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/kepsar-hattar/keps/614206,https://www.kappahl.com/ProductImages/614206/614206_L.jpg?preset=ProductImageMagnified,614206,https://storage.googleapis.com/urbankiddo/kappah/614206
Keps,NEWBIE BABY,girl,Accessoarer,48/50 ,"69,30:- 99:- -30%",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/kepsar-hattar/keps/614206,https://www.kappahl.com/ProductImages/614206/614206_L.jpg?preset=ProductImageMagnified,614206,https://storage.googleapis.com/urbankiddo/kappah/614206
Keps,NEWBIE BABY,girl,Accessoarer,52/54 ,"69,30:- 99:- -30%",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/kepsar-hattar/keps/614206,https://www.kappahl.com/ProductImages/614206/614206_L.jpg?preset=ProductImageMagnified,614206,https://storage.googleapis.com/urbankiddo/kappah/614206
Solglasögon,DESIGN BY KAPPAHL,girl,Accessoarer,ONE SIZE ,"41,93:- 59,90:- -30%",Svart,https://www.kappahl.com/sv-SE/barn/accessoarer/solglasogon/solglasogon/646224,https://www.kappahl.com/ProductImages/646224/646224_L.jpg?preset=ProductImageMagnified,646224,https://storage.googleapis.com/urbankiddo/kappah/646224
Solglasögon,DESIGN BY KAPPAHL,girl,Accessoarer,ONE SIZE ,"29,95:- 59,90:- -50%",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/solglasogon/solglasogon/646208,https://www.kappahl.com/ProductImages/646208/646208_L.jpg?preset=ProductImageMagnified,646208,https://storage.googleapis.com/urbankiddo/kappah/646208
Solhatt,NEWBIE BABY,girl,Accessoarer,40/42  - Ej i lager,"55,93:- 79,90:- -30%",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/solhattar/solhatt/641902,https://www.kappahl.com/ProductImages/641902/641902_L.jpg?preset=ProductImageMagnified,641902,https://storage.googleapis.com/urbankiddo/kappah/641902
Solhatt,NEWBIE BABY,girl,Accessoarer,44/46 ,"55,93:- 79,90:- -30%",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/solhattar/solhatt/641902,https://www.kappahl.com/ProductImages/641902/641902_L.jpg?preset=ProductImageMagnified,641902,https://storage.googleapis.com/urbankiddo/kappah/641902
Solhatt,NEWBIE BABY,girl,Accessoarer,48/50 ,"55,93:- 79,90:- -30%",Offwhite,https://www.kappahl.com/sv-SE/barn/accessoarer/solhattar/solhatt/641902,https://www.kappahl.com/ProductImages/641902/641902_L.jpg?preset=ProductImageMagnified,641902,https://storage.googleapis.com/urbankiddo/kappah/641902
Tygskor,DESIGN BY KAPPAHL,girl,Accessoarer,13/14 ,"49,50:- 99:- -50%",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/skor/tygskor/646117,https://www.kappahl.com/ProductImages/646117/646117_L.jpg?preset=ProductImageMagnified,646117,https://storage.googleapis.com/urbankiddo/kappah/646117
Tygskor,DESIGN BY KAPPAHL,girl,Accessoarer,15/16 ,"49,50:- 99:- -50%",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/skor/tygskor/646117,https://www.kappahl.com/ProductImages/646117/646117_L.jpg?preset=ProductImageMagnified,646117,https://storage.googleapis.com/urbankiddo/kappah/646117
Tygskor,DESIGN BY KAPPAHL,girl,Accessoarer,17/18 ,"49,50:- 99:- -50%",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/skor/tygskor/646117,https://www.kappahl.com/ProductImages/646117/646117_L.jpg?preset=ProductImageMagnified,646117,https://storage.googleapis.com/urbankiddo/kappah/646117
Tygskor,DESIGN BY KAPPAHL,girl,Accessoarer,19/20 ,"49,50:- 99:- -50%",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/skor/tygskor/646117,https://www.kappahl.com/ProductImages/646117/646117_L.jpg?preset=ProductImageMagnified,646117,https://storage.googleapis.com/urbankiddo/kappah/646117
Solhatt,DESIGN BY KAPPAHL,girl,Accessoarer,40/42 ,"55,93:- 79,90:- -30%",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/solhattar/solhatt/614560,https://www.kappahl.com/ProductImages/614560/614560_L.jpg?preset=ProductImageMagnified,614560,https://storage.googleapis.com/urbankiddo/kappah/614560
Solhatt,DESIGN BY KAPPAHL,girl,Accessoarer,44/46 ,"55,93:- 79,90:- -30%",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/solhattar/solhatt/614560,https://www.kappahl.com/ProductImages/614560/614560_L.jpg?preset=ProductImageMagnified,614560,https://storage.googleapis.com/urbankiddo/kappah/614560
Solhatt,DESIGN BY KAPPAHL,girl,Accessoarer,48/50  - Ej i lager,"55,93:- 79,90:- -30%",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/solhattar/solhatt/614560,https://www.kappahl.com/ProductImages/614560/614560_L.jpg?preset=ProductImageMagnified,614560,https://storage.googleapis.com/urbankiddo/kappah/614560
Skor,NEWBIE BABY,girl,Accessoarer,13/14 ,"90,30:- 129:- -30%",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/skor/skor/586834,https://www.kappahl.com/ProductImages/586834/586834_F.jpg?preset=ProductImageMagnified,586834,https://storage.googleapis.com/urbankiddo/kappah/586834
Skor,NEWBIE BABY,girl,Accessoarer,15/16  - Ej i lager,"90,30:- 129:- -30%",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/skor/skor/586834,https://www.kappahl.com/ProductImages/586834/586834_F.jpg?preset=ProductImageMagnified,586834,https://storage.googleapis.com/urbankiddo/kappah/586834
Skor,NEWBIE BABY,girl,Accessoarer,17/18  - Ej i lager,"90,30:- 129:- -30%",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/skor/skor/586834,https://www.kappahl.com/ProductImages/586834/586834_F.jpg?preset=ProductImageMagnified,586834,https://storage.googleapis.com/urbankiddo/kappah/586834
Skor,NEWBIE BABY,girl,Accessoarer,19/20 ,"90,30:- 129:- -30%",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/skor/skor/586834,https://www.kappahl.com/ProductImages/586834/586834_F.jpg?preset=ProductImageMagnified,586834,https://storage.googleapis.com/urbankiddo/kappah/586834
Keps,NEWBIE BABY,girl,Accessoarer,44/46 ,"69,30:- 99:- -30%",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/solhattar/keps/611442,https://www.kappahl.com/ProductImages/611442/611442_L.jpg?preset=ProductImageMagnified,611442,https://storage.googleapis.com/urbankiddo/kappah/611442
Keps,NEWBIE BABY,girl,Accessoarer,48/50 ,"69,30:- 99:- -30%",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/solhattar/keps/611442,https://www.kappahl.com/ProductImages/611442/611442_L.jpg?preset=ProductImageMagnified,611442,https://storage.googleapis.com/urbankiddo/kappah/611442
Keps,NEWBIE BABY,girl,Accessoarer,52/54 ,"69,30:- 99:- -30%",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/solhattar/keps/611442,https://www.kappahl.com/ProductImages/611442/611442_L.jpg?preset=ProductImageMagnified,611442,https://storage.googleapis.com/urbankiddo/kappah/611442
Dregglis 2-pack,NEWBIE BABY,girl,Accessoarer,ONE SIZE ,"62,93:- 89,90:- -30%",Blå,https://www.kappahl.com/sv-SE/barn/accessoarer/dregglisar/dregglis-2-pack/598318,https://www.kappahl.com/ProductImages/598318/598318_L.jpg?preset=ProductImageMagnified,598318,https://storage.googleapis.com/urbankiddo/kappah/598318
