name,brand,gender,category,size,price,color,url,img_url,article_no
"Ärmlös body, Pink",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,62,"119 kr

        449 kr","
Rosa			",https://cdon.se/klader/armlos-body-p47551783-62962668,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image355/rmls_body-47551783-62962668-org.jpg,47551783
"Ärmlös body, Pink",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,68,"119 kr

        449 kr","
Rosa			",https://cdon.se/klader/armlos-body-p47551783-62962668,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image355/rmls_body-47551783-62962668-org.jpg,47551783
"Ärmlös body, Pink",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,74,"119 kr

        449 kr","
Rosa			",https://cdon.se/klader/armlos-body-p47551783-62962668,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image355/rmls_body-47551783-62962668-org.jpg,47551783
"Ärmlös body, Pink",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,80,"119 kr

        449 kr","
Rosa			",https://cdon.se/klader/armlos-body-p47551783-62962668,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image355/rmls_body-47551783-62962668-org.jpg,47551783
"Ärmlös body, Pink",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,86,"119 kr

        449 kr","
Rosa			",https://cdon.se/klader/armlos-body-p47551783-62962668,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image355/rmls_body-47551783-62962668-org.jpg,47551783
"Body Bambu, Rosa",Walking Bamboo,"
Flicka			",BODIES & SPARKDRÄKTER,50 (0-1 mån),"119 kr

        449 kr","
Rosa			",https://cdon.se/klader/body-bambu-p39569489-25031968,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image179/body_bambu-39569489-25031968-org.peg,39569489
"Body Bambu, Rosa",Walking Bamboo,"
Flicka			",BODIES & SPARKDRÄKTER,56 (1-2 Mån),"119 kr

        449 kr","
Rosa			",https://cdon.se/klader/body-bambu-p39569489-25031968,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image179/body_bambu-39569489-25031968-org.peg,39569489
"Body Bambu, Rosa",Walking Bamboo,"
Flicka			",BODIES & SPARKDRÄKTER,62 (2-4 Mån) - Bevaka storlek,"119 kr

        449 kr","
Rosa			",https://cdon.se/klader/body-bambu-p39569489-25031968,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image179/body_bambu-39569489-25031968-org.peg,39569489
"Body Bambu, Rosa",Walking Bamboo,"
Flicka			",BODIES & SPARKDRÄKTER,68 (4-6 Mån),"119 kr

        449 kr","
Rosa			",https://cdon.se/klader/body-bambu-p39569489-25031968,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image179/body_bambu-39569489-25031968-org.peg,39569489
"Body Garden, White",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,86,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/body-garden-p46700180-62114073,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image603/body_garden-46700180-62114073-org.jpg,46700180
"Body Hug, Grey melange",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,80,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/body-hug-p46715395-62114065,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image423/body_hug-46715395-62114065-org.jpg,46715395
"Ärmlös body i ekologisk bomull 2-pack, Grey mottled + White",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,62,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/armlos-body-i-ekologisk-bomull-2-pack-p46307975-62110500,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image421/body_2-pack-46307975-62110500-org.jpg,46307975
"Ärmlös body i ekologisk bomull 2-pack, Grey mottled + White",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,68,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/armlos-body-i-ekologisk-bomull-2-pack-p46307975-62110500,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image421/body_2-pack-46307975-62110500-org.jpg,46307975
"Ärmlös body i ekologisk bomull 2-pack, Grey mottled + White",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,74,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/armlos-body-i-ekologisk-bomull-2-pack-p46307975-62110500,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image421/body_2-pack-46307975-62110500-org.jpg,46307975
"Ärmlös body i ekologisk bomull 2-pack, Grey mottled + White",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,80,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/armlos-body-i-ekologisk-bomull-2-pack-p46307975-62110500,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image421/body_2-pack-46307975-62110500-org.jpg,46307975
