name,brand,gender,category,size,price,color,composition,url,img_url,article_no,blob_url
Festlig jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek164
	                ",279kr,mentolblå,"Yttermaterial: 100% polyester, Foder: 100% polyester",https://www.bonprix.se/produkt/festlig-jumpsuit-mentolbla-968896/#image,https://image01.bonprix.se/assets/460x644/1550468077/19039137-umQcyiVN.jpg,96889695
Festlig jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek170
	                ",279kr,mentolblå,"Yttermaterial: 100% polyester, Foder: 100% polyester",https://www.bonprix.se/produkt/festlig-jumpsuit-mentolbla-968896/#image,https://image01.bonprix.se/assets/460x644/1550468077/19039137-umQcyiVN.jpg,96889695
Långärmad flickklänning,bpc bonprix collection,girl,Dresses,"
Storlek104/110
	                ",129kr,blålila,100% bomull,https://www.bonprix.se/produkt/langaermad-flickklaenning-blalila-918742/#image,https://image01.bonprix.se/assets/460x644/1563954874/18263662-hyHKRAFG.jpg,91874295
Långärmad flickklänning,bpc bonprix collection,girl,Dresses,"
Storlek116/122
	                ",129kr,blålila,100% bomull,https://www.bonprix.se/produkt/langaermad-flickklaenning-blalila-918742/#image,https://image01.bonprix.se/assets/460x644/1563954874/18263662-hyHKRAFG.jpg,91874295
Långärmad flickklänning,bpc bonprix collection,girl,Dresses,"
Storlek128/134
	                ",129kr,blålila,100% bomull,https://www.bonprix.se/produkt/langaermad-flickklaenning-blalila-918742/#image,https://image01.bonprix.se/assets/460x644/1563954874/18263662-hyHKRAFG.jpg,91874295
Långärmad flickklänning,bpc bonprix collection,girl,Dresses,"
Storlek140/146
	                ",129kr,blålila,100% bomull,https://www.bonprix.se/produkt/langaermad-flickklaenning-blalila-918742/#image,https://image01.bonprix.se/assets/460x644/1563954874/18263662-hyHKRAFG.jpg,91874295
Långärmad flickklänning,bpc bonprix collection,girl,Dresses,"
Storlek152/158
	                ",129kr,blålila,100% bomull,https://www.bonprix.se/produkt/langaermad-flickklaenning-blalila-918742/#image,https://image01.bonprix.se/assets/460x644/1563954874/18263662-hyHKRAFG.jpg,91874295
Jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek116
	                ",169kr,svart/turkos,100% bomull,https://www.bonprix.se/produkt/jumpsuit-svart-turkos-947962/#image,https://image01.bonprix.se/assets/460x644/1560333140/19143270-CMnw7ILG.jpg,94796295
Jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek122
	                ",169kr,svart/turkos,100% bomull,https://www.bonprix.se/produkt/jumpsuit-svart-turkos-947962/#image,https://image01.bonprix.se/assets/460x644/1560333140/19143270-CMnw7ILG.jpg,94796295
Jumpsuit,bpc bonprix collection,girl,Dresses,"
Storlek128
	                ",169kr,svart/turkos,100% bomull,https://www.bonprix.se/produkt/jumpsuit-svart-turkos-947962/#image,https://image01.bonprix.se/assets/460x644/1560333140/19143270-CMnw7ILG.jpg,94796295
