article_no,gender,category,price,size,brand
536706,boy,Bodys &amp; set,64,62,DESIGN BY KAPPAHL
536706,boy,Bodys &amp; set,64,68,DESIGN BY KAPPAHL
536706,boy,Bodys &amp; set,64,74,DESIGN BY KAPPAHL
536706,boy,Bodys &amp; set,64,80,DESIGN BY KAPPAHL
536706,boy,Bodys &amp; set,64,86,DESIGN BY KAPPAHL
468579,boy,Bodys &amp; set,69,56,NEWBIE BABY
468579,boy,Bodys &amp; set,69,62,NEWBIE BABY
468579,boy,Bodys &amp; set,69,68,NEWBIE BABY
468579,boy,Bodys &amp; set,69,74,NEWBIE BABY
468579,boy,Bodys &amp; set,69,80,NEWBIE BABY
468579,boy,Bodys &amp; set,69,86,NEWBIE BABY
550137,boy,Bodys &amp; set,64,56,NEWBIE BABY
550137,boy,Bodys &amp; set,64,62,NEWBIE BABY
550137,boy,Bodys &amp; set,64,68,NEWBIE BABY
550137,boy,Bodys &amp; set,64,74,NEWBIE BABY
550137,boy,Bodys &amp; set,64,80,NEWBIE BABY
550137,boy,Bodys &amp; set,64,86,NEWBIE BABY
591594,boy,Toppar &amp; t-shirts,80,68,NEWBIE BABY
591594,boy,Toppar &amp; t-shirts,80,74,NEWBIE BABY
591594,boy,Toppar &amp; t-shirts,80,80,NEWBIE BABY
591594,boy,Toppar &amp; t-shirts,80,86,NEWBIE BABY
648766,boy,Toppar &amp; t-shirts,80,62,DESIGN BY KAPPAHL
648766,boy,Toppar &amp; t-shirts,80,68,DESIGN BY KAPPAHL
648766,boy,Toppar &amp; t-shirts,80,74,DESIGN BY KAPPAHL
648766,boy,Toppar &amp; t-shirts,80,80,DESIGN BY KAPPAHL
648766,boy,Toppar &amp; t-shirts,80,86,DESIGN BY KAPPAHL
587980,boy,Toppar &amp; t-shirts,80,74-80,NEWBIE KIDS
587980,boy,Toppar &amp; t-shirts,80,86-92,NEWBIE KIDS
587980,boy,Toppar &amp; t-shirts,80,98-104,NEWBIE KIDS
587980,boy,Toppar &amp; t-shirts,80,110-116,NEWBIE KIDS
587980,boy,Toppar &amp; t-shirts,80,122-128,NEWBIE KIDS
594606,boy,Toppar &amp; t-shirts,80,74-80,NEWBIE KIDS
594606,boy,Toppar &amp; t-shirts,80,86-92,NEWBIE KIDS
594606,boy,Toppar &amp; t-shirts,80,98-104,NEWBIE KIDS
594606,boy,Toppar &amp; t-shirts,80,110-116,NEWBIE KIDS
594606,boy,Toppar &amp; t-shirts,80,122-128,NEWBIE KIDS
581546,boy,Toppar &amp; t-shirts,80,62,NEWBIE BABY
581546,boy,Toppar &amp; t-shirts,80,68,NEWBIE BABY
581546,boy,Toppar &amp; t-shirts,80,74,NEWBIE BABY
581546,boy,Toppar &amp; t-shirts,80,80,NEWBIE BABY
581546,boy,Toppar &amp; t-shirts,80,86,NEWBIE BABY
648477,boy,Toppar &amp; t-shirts,80,62,DESIGN BY KAPPAHL
648477,boy,Toppar &amp; t-shirts,80,68,DESIGN BY KAPPAHL
648477,boy,Toppar &amp; t-shirts,80,74,DESIGN BY KAPPAHL
648477,boy,Toppar &amp; t-shirts,80,80,DESIGN BY KAPPAHL
648477,boy,Toppar &amp; t-shirts,80,86,DESIGN BY KAPPAHL
588616,boy,Toppar &amp; t-shirts,56,68,NEWBIE BABY
588616,boy,Toppar &amp; t-shirts,56,74,NEWBIE BABY
588616,boy,Toppar &amp; t-shirts,56,80,NEWBIE BABY
588616,boy,Toppar &amp; t-shirts,56,86,NEWBIE BABY
591636,boy,Toppar &amp; t-shirts,56,68,NEWBIE BABY
591636,boy,Toppar &amp; t-shirts,56,74,NEWBIE BABY
591636,boy,Toppar &amp; t-shirts,56,80,NEWBIE BABY
591636,boy,Toppar &amp; t-shirts,56,86,NEWBIE BABY
591610,boy,Toppar &amp; t-shirts,56,68,NEWBIE BABY
591610,boy,Toppar &amp; t-shirts,56,74,NEWBIE BABY
591610,boy,Toppar &amp; t-shirts,56,80,NEWBIE BABY
591610,boy,Toppar &amp; t-shirts,56,86,NEWBIE BABY
608588,boy,Toppar &amp; t-shirts,56,62,NEWBIE BABY
608588,boy,Toppar &amp; t-shirts,56,68,NEWBIE BABY
608588,boy,Toppar &amp; t-shirts,56,74,NEWBIE BABY
608588,boy,Toppar &amp; t-shirts,56,80,NEWBIE BABY
608588,boy,Toppar &amp; t-shirts,56,86,NEWBIE BABY
648758,boy,Toppar &amp; t-shirts,56,62,DESIGN BY KAPPAHL
648758,boy,Toppar &amp; t-shirts,56,68,DESIGN BY KAPPAHL
