article_no,gender,category,price,size,brand
60381489,unisex,"Underkläder & Nattplagg
(292)",149,34-36,polarnopyret
60400294,unisex,"Underkläder & Nattplagg
(292)",50,28-30,polarnopyret
60381480,unisex,"Underkläder & Nattplagg
(292)",129,40-42,polarnopyret
60400620,unisex,"Underkläder & Nattplagg
(292)",50,110-116,polarnopyret
60404081,unisex,"Underkläder & Nattplagg
(292)",24,16-18,polarnopyret
60400625,unisex,"Underkläder & Nattplagg
(292)",50,146-152,polarnopyret
60400634,unisex,"Underkläder & Nattplagg
(292)",174,122-128,polarnopyret
60400632,unisex,"Underkläder & Nattplagg
(292)",150,98-104,polarnopyret
60400634,unisex,"Underkläder & Nattplagg
(292)",174,122-128,polarnopyret
60400327,unisex,"Underkläder & Nattplagg
(292)",50,28-30,polarnopyret
60404081,unisex,"Underkläder & Nattplagg
(292)",24,16-18,polarnopyret
60400294,unisex,"Underkläder & Nattplagg
(292)",50,28-30,polarnopyret
60404273,unisex,"Underkläder & Nattplagg
(292)",99,86-92,polarnopyret
60381480,unisex,"Underkläder & Nattplagg
(292)",129,40-42,polarnopyret
60400289,unisex,"Underkläder & Nattplagg
(292)",24,16-18,polarnopyret
60400275,unisex,"Underkläder & Nattplagg
(292)",40,40-42,polarnopyret
60404107,unisex,"Underkläder & Nattplagg
(292)",50,28-30,polarnopyret
60404159,unisex,"Underkläder & Nattplagg
(292)",150,146-152,polarnopyret
60400340,unisex,"Underkläder & Nattplagg
(292)",64,110-116,polarnopyret
60400341,unisex,"Underkläder & Nattplagg
(292)",64,146-152,polarnopyret
60404250,unisex,"Underkläder & Nattplagg
(292)",50,110-116,polarnopyret
60404260,unisex,"Underkläder & Nattplagg
(292)",50,110-116,polarnopyret
60404060,unisex,"Underkläder & Nattplagg
(292)",50,28-30,polarnopyret
60404251,unisex,"Underkläder & Nattplagg
(292)",50,146-152,polarnopyret
60404162,unisex,"Underkläder & Nattplagg
(292)",150,146-152,polarnopyret
60404267,unisex,"Underkläder & Nattplagg
(292)",40,110-116,polarnopyret
60404102,unisex,"Underkläder & Nattplagg
(292)",74,31-33,polarnopyret
60400270,unisex,"Underkläder & Nattplagg
(292)",40,28-30,polarnopyret
60404256,unisex,"Underkläder & Nattplagg
(292)",50,110-116,polarnopyret
60404261,unisex,"Underkläder & Nattplagg
(292)",50,146-152,polarnopyret
60404254,unisex,"Underkläder & Nattplagg
(292)",50,122-128,polarnopyret
60404165,unisex,"Underkläder & Nattplagg
(292)",124,146-152,polarnopyret
60404154,unisex,"Underkläder & Nattplagg
(292)",124,110-116,polarnopyret
60400328,unisex,"Underkläder & Nattplagg
(292)",74,31-33,polarnopyret
60404270,unisex,"Underkläder & Nattplagg
(292)",40,110-116,polarnopyret
60404061,unisex,"Underkläder & Nattplagg
(292)",50,40-42,polarnopyret
60404157,unisex,"Underkläder & Nattplagg
(292)",124,146-152,polarnopyret
60404248,unisex,"Underkläder & Nattplagg
(292)",124,98-104,polarnopyret
60404052,unisex,"Underkläder & Nattplagg
(292)",24,16-18,polarnopyret
60381480,unisex,"Underkläder & Nattplagg
(292)",129,40-42,polarnopyret
60400335,unisex,"Underkläder & Nattplagg
(292)",74,122-128,polarnopyret
